Altium Designer Pick and Place Locations
D:\Altium Project\Alamin_Project_Esp32_Board\ESP32_With_USB-C_Port\Project Outputs for ESP32_With_USB-C_Port\Pick Place\Pick Place for ESP32_With_USB-C_Port_AL(Prototype).csv

========================================================================================================================
File Design Information:

Date:       04/06/25
Time:       04:44
Revision:   Not in VersionControl
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U3","TL1963A-33DCYR","TopLayer","VREG_TL1963A-33DCYR","780.000","290.000","0","IC REG LIN 3.3V 1.5A SOT-223-4"
"U2","FT231XQ-R","TopLayer","QFN20_FT231XQ_FTD-M","710.000","770.000","270","IC USB SERIAL FULL UART 20QFN"
"U1","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2395.039","500.000","270","SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
"SW2","PTS645SH50SMTR92LFS","TopLayer","PTS645S_SMTR92_CNK","1400.000","750.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PTS645SH50SMTR92LFS","TopLayer","PTS645S_SMTR92_CNK","1400.000","250.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R24","0R","TopLayer","RESC1005X40_0","1889.409","441.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R23","0R","TopLayer","RESC1005X40_0","1889.228","530.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R22","10K","TopLayer","RESC1005X37N_10k","1665.000","348.000","90","RES SMD 10K OHM 1% 1/16W 0402"
"R21","27R","TopLayer","RESC1005X40N_27","1987.500","785.000","0","RES 27 OHM 1% 1/16W 0402"
"R20","27R","TopLayer","RESC1005X40N_27","1987.500","845.000","0","RES 27 OHM 1% 1/16W 0402"
"R19","0R","TopLayer","RESC1005X40_0","2134.000","145.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R18","10K","TopLayer","RESC1005X37N_10k","1030.000","697.500","90","RES SMD 10K OHM 1% 1/16W 0402"
"R17","0R","TopLayer","RESC1005X40_0","2030.000","145.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R16","10K","TopLayer","RESC1005X37N_10k","1030.000","815.000","270","RES SMD 10K OHM 1% 1/16W 0402"
"R15","5K1","TopLayer","RESC1005X37N_5.1","425.000","275.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R14","5K1","TopLayer","RESC1005X37N_5.1","410.000","160.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R13","5K1","TopLayer","RESC1005X37N_5.1","420.000","867.992","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R12","5K1","TopLayer","RESC1005X37N_5.1","415.000","693.000","180","RES SMD 5.1K OHM 1% 1/16W 0402"
"R11","0R","TopLayer","RESC1005X40_0","580.000","582.500","90","RES 0 OHM JUMPER 1/16W 0402"
"R10","27R","TopLayer","RESC1005X40N_27","520.000","738.000","0","RES 27 OHM 1% 1/16W 0402"
"R8","27R","TopLayer","RESC1005X40N_27","520.000","788.000","0","RES 27 OHM 1% 1/16W 0402"
"R6","0R","TopLayer","RESC1005X40_0","697.591","486.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R5","1K","TopLayer","RESC1005X40N_1k","1825.000","685.000","270","RES 1K OHM 1% 1/16W 0402"
"R4","1K","TopLayer","RESC1005X40N_1k","1825.000","317.500","90","RES 1K OHM 1% 1/16W 0402"
"R2","10K","TopLayer","RESC1005X37N_10k","905.000","570.000","180","RES SMD 10K OHM 1% 1/16W 0402"
"R1","4K7","TopLayer","RESC1005X40N","905.000","625.000","0","RES 4.7K OHM 1% 1/16W 0402"
"Q2","SS8050-G","TopLayer","TRAN_SS8050-G_CIP","1135.000","629.500","270","TRANS NPN 25V 1.5A SOT-23-3"
"Q1","SS8050-G","TopLayer","TRAN_SS8050-G_CIP","1135.000","794.500","270","TRANS NPN 25V 1.5A SOT-23-3"
"J6","FTS-102-01-F-S","TopLayer","CONN_FTS-102-01-x-S_SAI","1390.000","500.000","180","CONN HEADER VERT 2POS 1.27MM"
"J5","FTS-103-01-F-S","TopLayer","CONN_FTS-103-01-x-S_SAI","375.000","500.000","90","CONN HEADER VERT 3POS 1.27MM"
"J4","217179-0001","TopLayer","MOLEX_2171790001","157.579","220.079","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J3","217179-0001","TopLayer","MOLEX_2171790001","157.579","779.921","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J2","22-28-4245","BottomLayer","CONN_SD-42375-001_M295_24_MOL","1500.000","50.000","0","CONN HEADER VERT 24POS 2.54MM"
"J1","22-28-4245","BottomLayer","CONN_SD-42375-001_M295_24_MOL","1500.000","950.000","0","CONN HEADER VERT 24POS 2.54MM"
"D8","AQ3045-01ETG","TopLayer","RTVS_SOD882_LTF-M","345.000","178.500","90","TVS DIODE 5.3VWM 12VC SOD882"
"D7","AQ3045-01ETG","TopLayer","RTVS_SOD882_LTF-M","345.000","260.000","270","TVS DIODE 5.3VWM 12VC SOD882"
"D6","AQ3045-01ETG","TopLayer","RTVS_SOD882_LTF-M","349.000","370.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D5","AQ3045-01ETG","TopLayer","RTVS_SOD882_LTF-M","345.000","737.500","90","TVS DIODE 5.3VWM 12VC SOD882"
"D4","AQ3045-01ETG","TopLayer","RTVS_SOD882_LTF-M","340.000","820.000","270","TVS DIODE 5.3VWM 12VC SOD882"
"D3","AQ3045-01ETG","TopLayer","RTVS_SOD882_LTF-M","346.000","620.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D2","RED_LED","TopLayer","LED_0402_RED_01-_DUPLICATE","1825.000","806.339","270","LED RED 0402 SMD"
"D1","LED_YLW-GRN","TopLayer","LED_0402_YLW_GR","1825.000","215.000","90","LED YLW-GRN 0402 SMD"
"C16","1uF, 35V","TopLayer","CAPC1005X70N_ALL","1665.000","211.500","90","CAP CER 1UF 35V X5R 0402"
"C15","100nF , 50V","TopLayer","CAPC1005X70N_ALL","2562.000","858.000","180","CAP CER 0.1UF 50V X7R 0402"
"C14","10uF, 10V","TopLayer","CAPC1005X70N_ALL","2642.000","858.000","180","CAP CER 10UF 10V X5R 0402"
"C13","4u7, 16V","TopLayer","CAPC1005X70N_ALL","560.000","360.000","90","CAP CER 4.7UF 16V X5R 0402"
"C12","10uF, 10V","TopLayer","CAPC1005X70N_ALL","515.000","221.500","270","CAP CER 10UF 10V X5R 0402"
"C11","10uF, 10V","TopLayer","CAPC1005X70N_ALL","580.000","221.500","270","CAP CER 10UF 10V X5R 0402"
"C10","100nF , 50V","TopLayer","CAPC1005X70N_ALL","450.000","370.000","180","CAP CER 0.1UF 50V X7R 0402"
"C9","100nF , 50V","TopLayer","CAPC1005X70N_ALL","536.500","860.000","0","CAP CER 0.1UF 50V X7R 0402"
"C8","100nF , 50V","TopLayer","CAPC1005X70N_ALL","896.000","794.000","180","CAP CER 0.1UF 50V X7R 0402"
"C7","100nF , 50V","TopLayer","CAPC1005X70N_ALL","555.000","675.000","180","CAP CER 0.1UF 50V X7R 0402"
"C5","4u7, 16V","TopLayer","CAPC1005X70N_ALL","740.000","545.000","180","CAP CER 4.7UF 16V X5R 0402"
"C4","100nF , 50V","TopLayer","CAPC1005X70N_ALL","745.000","605.000","180","CAP CER 0.1UF 50V X7R 0402"
